XC-ID,scientific name,bird name,Vocalization Type,Author,Page URL
106520,Chroicocephalus ridibundus,Black-headed Gull,alarm call,Albert Lastukhin,https://xeno-canto.org/106520
129576,Chroicocephalus ridibundus,Black-headed Gull,"alarm call, call, flight call, song",Alexandre Renaudier,https://xeno-canto.org/129576
129577,Chroicocephalus ridibundus,Black-headed Gull,"alarm call, call, flight call, song",Alexandre Renaudier,https://xeno-canto.org/129577
132961,Chroicocephalus ridibundus,Black-headed Gull,"alarm call, flight call",Albert Lastukhin,https://xeno-canto.org/132961
134722,Chroicocephalus ridibundus,Black-headed Gull,"alarm call, flight call",Albert Lastukhin,https://xeno-canto.org/134722
134725,Chroicocephalus ridibundus,Black-headed Gull,"alarm call, flight call",Albert Lastukhin,https://xeno-canto.org/134725
187086,Chroicocephalus ridibundus,Black-headed Gull,alarm call,Albert Lastukhin,https://xeno-canto.org/187086
187088,Chroicocephalus ridibundus,Black-headed Gull,alarm call,Albert Lastukhin,https://xeno-canto.org/187088
187089,Chroicocephalus ridibundus,Black-headed Gull,"alarm call, flight call",Albert Lastukhin,https://xeno-canto.org/187089
246603,Chroicocephalus ridibundus,Black-headed Gull,"alarm call, song",Simar,https://xeno-canto.org/246603
251899,Chroicocephalus ridibundus,Black-headed Gull,alarm call,maudoc,https://xeno-canto.org/251899
266423,Chroicocephalus ridibundus,Black-headed Gull,"alarm call, call, flight call, song",Eetu Paljakka,https://xeno-canto.org/266423
290101,Chroicocephalus ridibundus,Black-headed Gull,"alarm call, call, flight call, song",Eetu Paljakka,https://xeno-canto.org/290101
296181,Chroicocephalus ridibundus,Black-headed Gull,"alarm call, call, flight call",david m,https://xeno-canto.org/296181
303217,Chroicocephalus ridibundus,Black-headed Gull,"alarm call, call, cry",Gerhard Lühning,https://xeno-canto.org/303217
309102,Chroicocephalus ridibundus,Black-headed Gull,"alarm call, flight call",Szymon Pławecki,https://xeno-canto.org/309102
310407,Chroicocephalus ridibundus,Black-headed Gull,"alarm call, call, flight call",José Carlos Sires,https://xeno-canto.org/310407
310408,Chroicocephalus ridibundus,Black-headed Gull,"alarm call, call, flight call",José Carlos Sires,https://xeno-canto.org/310408
348756,Chroicocephalus ridibundus,Black-headed Gull,"alarm call, call, agressive-call",Joost van Bruggen,https://xeno-canto.org/348756
372286,Chroicocephalus ridibundus,Black-headed Gull,alarm call,Annette Hamann,https://xeno-canto.org/372286
416488,Chroicocephalus ridibundus,Black-headed Gull,alarm call,Katalin Kovács-Hajdu,https://xeno-canto.org/416488
424328,Chroicocephalus ridibundus,Black-headed Gull,alarm call,Lars Edenius,https://xeno-canto.org/424328
434845,Chroicocephalus ridibundus,Black-headed Gull,"alarm call, call, flight call",Stanislas Wroza,https://xeno-canto.org/434845
554037,Chroicocephalus ridibundus,Black-headed Gull,"alarm call, begging call, flight call",Jarek Matusiak,https://xeno-canto.org/554037
560441,Chroicocephalus ridibundus,Black-headed Gull,"alarm call, call, flight call",Ireneusz Oleksik,https://xeno-canto.org/560441
565612,Chroicocephalus ridibundus,Black-headed Gull,"alarm call, flight call",jesus carrion,https://xeno-canto.org/565612
591462,Chroicocephalus ridibundus,Black-headed Gull,"alarm call, begging call, flight call",Jarek Matusiak,https://xeno-canto.org/591462
596036,Chroicocephalus ridibundus,Black-headed Gull,alarm call,Andrey Suravenkov,https://xeno-canto.org/596036
632954,Chroicocephalus ridibundus,Black-headed Gull,alarm call,Charlie Bodin,https://xeno-canto.org/632954
650807,Chroicocephalus ridibundus,Black-headed Gull,alarm call,Irish Wildlife Sounds,https://xeno-canto.org/650807
650808,Chroicocephalus ridibundus,Black-headed Gull,alarm call,Irish Wildlife Sounds,https://xeno-canto.org/650808
673778,Chroicocephalus ridibundus,Black-headed Gull,"alarm call, call",Albert Lastukhin,https://xeno-canto.org/673778
673779,Chroicocephalus ridibundus,Black-headed Gull,"alarm call, call",Albert Lastukhin,https://xeno-canto.org/673779
673781,Chroicocephalus ridibundus,Black-headed Gull,"alarm call, call",Albert Lastukhin,https://xeno-canto.org/673781
729140,Chroicocephalus ridibundus,Black-headed Gull,"alarm call, begging call, call, flight call",Manuel Tacke,https://xeno-canto.org/729140
733347,Chroicocephalus ridibundus,Black-headed Gull,"alarm call, call, flight call",Andrew Harrop,https://xeno-canto.org/733347
733348,Chroicocephalus ridibundus,Black-headed Gull,"alarm call, flight call",Andrew Harrop,https://xeno-canto.org/733348
736714,Chroicocephalus ridibundus,Black-headed Gull,alarm call,Agris Celmins,https://xeno-canto.org/736714
777140,Chroicocephalus ridibundus,Black-headed Gull,"alarm call, call, flight call",Tomasz Kudaszewicz,https://xeno-canto.org/777140
792500,Chroicocephalus ridibundus,Black-headed Gull,alarm call,Simon Elliott,https://xeno-canto.org/792500
809735,Chroicocephalus ridibundus,Black-headed Gull,alarm call,Mats Olsson,https://xeno-canto.org/809735
825472,Chroicocephalus ridibundus,Black-headed Gull,"alarm call, call",Romuald Mikusek,https://xeno-canto.org/825472
825473,Chroicocephalus ridibundus,Black-headed Gull,"alarm call, call",Romuald Mikusek,https://xeno-canto.org/825473
864642,Chroicocephalus ridibundus,Black-headed Gull,"alarm call, call, flight call",Karol Łanocha,https://xeno-canto.org/864642
912752,Chroicocephalus ridibundus,Black-headed Gull,"alarm call, call, flight call, breeding colony",Raphaël Bussière,https://xeno-canto.org/912752
912753,Chroicocephalus ridibundus,Black-headed Gull,"alarm call, call, flight call, breeding colony",Raphaël Bussière,https://xeno-canto.org/912753
912754,Chroicocephalus ridibundus,Black-headed Gull,"alarm call, call, flight call, breeding colony",Raphaël Bussière,https://xeno-canto.org/912754
912755,Chroicocephalus ridibundus,Black-headed Gull,"alarm call, call, flight call, breeding colony",Raphaël Bussière,https://xeno-canto.org/912755
106777,Branta canadensis,Canada Goose,"alarm call, call, anxiety call/alarm call",Patrik Åberg,https://xeno-canto.org/106777
116060,Branta canadensis,Canada Goose,"alarm call, flight call",Daniel Parker,https://xeno-canto.org/116060
116072,Branta canadensis,Canada Goose,"alarm call, call, flight call",Daniel Parker,https://xeno-canto.org/116072
161416,Branta canadensis,Canada Goose,"alarm call, call, flight call",Daniel Parker,https://xeno-canto.org/161416
176476,Branta canadensis,Canada Goose,"alarm call, call, flight call",david m,https://xeno-canto.org/176476
176489,Branta canadensis,Canada Goose,"alarm call, call, flight call",david m,https://xeno-canto.org/176489
176491,Branta canadensis,Canada Goose,"alarm call, call, flight call",david m,https://xeno-canto.org/176491
179581,Branta canadensis,Canada Goose,"alarm call, call",Martin St-Michel,https://xeno-canto.org/179581
263944,Branta canadensis,Canada Goose,"alarm call, song",Terje Kolaas,https://xeno-canto.org/263944
27165,Branta canadensis,Canada Goose,alarm call,Patrik Åberg,https://xeno-canto.org/27165
360684,Branta canadensis,Canada Goose,"alarm call, call, flight call",Stanislas Wroza,https://xeno-canto.org/360684
363864,Branta canadensis,Canada Goose,alarm call,Brian Murphy,https://xeno-canto.org/363864
390768,Branta canadensis,Canada Goose,alarm call,Martin St-Michel,https://xeno-canto.org/390768
